FederalID	College	State	Type	avg_salary_all	avg_comp_all	n_full	n_assoc	n_asst	n_instructors	n_all	avg_salary_full	avg_salary_assoc	avg_salary_asst	avg_comp_full	avg_comp_assoc	avg_comp_asst
1061	"Alaska Pacific University"	"AK"	"IIB"	382	487	6	11	9	4	32	454	382	362	567	485	471
1063	"Univ.Alaska-Fairbanks"	"AK"	"I"	508	677	74	125	118	40	404	686	560	432	914	753	572
1065	"Univ.Alaska-Southeast"	"AK"	"IIA"	415	559	9	26	20	9	70	533	494	329	716	663	442
11462	"Univ.Alaska-Anchorage"	"AK"	"IIA"	498	670	115	124	101	21	392	612	507	414	825	681	557
1002	"Alabama Agri.&Mech. Univ."	"AL"	"IIA"	350	423	59	77	102	24	262	442	369	310	530	444	376
1004	"University of Montevallo"	"AL"	"IIA"	388	477	57	33	35	2	127	441	385	310	542	473	383
1008	"Athens State College"	"AL"	"IIB"	396	478	20	18	30	0	68	466	394	351	558	476	427
1009	"Auburn University- Main"	"AL"	"I"	455	546	366	354	301	66	1109	580	437	374	692	527	451
1012	"Birmingham Southern College"	"AL"	"IIB"	401	523	34	25	27	3	89	498	379	322	655	501	404
1016	"Univ. of North Alabama"	"AL"	"IIB"	411	503	67	40	66	27	200	506	412	359	607	508	445
1019	"Huntingdon College"	"AL"	"IIB"	301	366	8	15	19	2	44	339	303	287	421	371	347
1020	"Jacksonville State Univ."	"AL"	"IIA"	386	493	106	42	66	58	272	461	389	338	585	496	436
1024	"Livingston University"	"AL"	"IIB"	300	363	27	25	33	4	89	360	304	258	433	369	313
1029	"University of Mobile"	"AL"	"IIB"	291	363	17	19	31	19	86	354	321	277	436	401	346
1033	"Oakwood College"	"AL"	"IIB"	290	362	18	28	28	3	77	301	290	283	375	363	355
1036	"Samford University"	"AL"	"IIA"	449	578	83	46	77	9	215	565	425	363	710	556	476
1041	"Spring Hill College"	"AL"	"IIB"	373	449	23	17	14	1	55	431	352	311	518	425	374
1044	"Stillman College"	"AL"	"IIB"	272	335	13	18	18	10	59	321	288	251	388	354	312
1047	"Troy State University-Main"	"AL"	"IIA"	350	426	25	59	100	19	204	462	385	322	560	467	392
1050	"Tuskegee University"	"AL"	"IIA"	327	387	57	65	85	45	254	410	352	306	487	415	362
1051	"University of Alabama"	"AL"	"I"	463	580	267	206	206	76	762	605	447	382	746	563	483
1052	"Univ. Alabama at Birmingham"	"AL"	"I"	461	587	106	163	107	19	406	633	445	366	786	569	475
1055	"Univ. Alabama in Huntsville"	"AL"	"IIA"	451	548	72	87	98	7	282	636	443	375	771	540	455
1057	"University of South Alabama"	"AL"	"IIA"	418	504	119	103	142	64	434	542	426	370	645	514	450
8310	"Auburn Univ. at Montgomery"	"AL"	"IIA"	403	483	56	54	63	28	201	519	422	343	621	507	411
1085	"Univ. Ark. at Monticello"	"AR"	"IIB"	349	428	23	24	48	22	117	453	363	330	561	448	402
1086	"Univ. Arkansas at Pine Bluff"	"AR"	"IIB"	335	419	40	33	71	46	192	406	366	332	505	457	415
1088	"Arkansas College (Lyon College)"	"AR"	"IIB"	399	488	14	5	21	2	42	499		330	618		402
1089	"Arkansas Tech University"	"AR"	"IIB"	374	471	44	71	52	13	180	439	381	337	550	479	427
1090	"Arkansas State Univ.-Main"	"AR"	"IIA"	398	498	103	87	141	63	394	520	433	342	646	541	431
1092	"Univ. of Central Arkansas"	"AR"	"IIA"	395	482	93	89	82	76	340	521	416	339	632	507	416
1094	"University of the Ozarks"	"AR"	"IIB"	285	391	14	9	15	2	40	309	280	274	428	383	376
1098	"Henderson State University"	"AR"	"IIB"	375	477	55	42	33	25	155	447	375	341	561	480	435
1099	"Hendrix College"	"AR"	"IIB"	421	562	24	26	14	1	65	485	399	362	664	534	453
1100	"John Brown University"	"AR"	"IIB"	341	426	23	22	10	3	58	372	338	304	478	414	375
1101	"Univ. Ark. at Little Rock"	"AR"	"IIA"	415	504	128	117	72	63	398	536	416	372	651	506	450
1102	"Ouachita Baptist University"	"AR"	"IIB"	342	435	36	14	28	19	97	422	355	289	529	445	375
1106	"Williams Baptist College"	"AR"	"IIB"	266	331	4	4	12	4	24			264			327
1107	"Southern Ark. Univ.-Main"	"AR"	"IIA"	362	453	27	31	34	23	115	461	389	321	575	484	402
1108	"Univ. Arkansas-Fayetteville"	"AR"	"I"	452	550	314	198	225	54	806	563	436	379	686	531	461
10311	"Harding University"	"AR"	"IIB"	380	460	80	46	41	8	179	424	374	335	512	461	401
1074	"Grand Canyon University"	"AZ"	"IIB"	299	363	20	18	24	12	74	358	328	274	439	395	332
1081	"Arizona State University"	"AZ"	"I"	489	593	576	445	251	7	1383	603	449	399	723	549	489
1082	"Northern Arizona University"	"AZ"	"I"	412	507	173	192	175	33	608	511	422	359	619	518	446
1083	"University of Arizona"	"AZ"	"I"	537	645	647	377	272	2	1349	648	462	411	771	561	498
1117	"Azusa Pacific University"	"CA"	"IIA"	368	488	43	62	32	12	156	430	375	318	573	494	428
1122	"Biola University"	"CA"	"IIA"	370	464	32	57	31	6	126	455	369	303	582	462	371
1131	"California Inst. of Tech."	"CA"	"I"	866	1075	173	40	44	0	257	970	733	576	1204	909	717
1133	"California Lutheran Univ."	"CA"	"IIB"	398	507	32	21	33	6	92	477	392	335	600	501	433
1137	"Cal.St.Univ-Fullerton"	"CA"	"IIA"	544	690	393	120	105	5	623	605	493	387	760	637	506
1138	"Cal.St.Univ-Hayward"	"CA"	"IIA"	552	699	258	69	49	7	383	606	491	384	762	629	503
1139	"Cal.St.Univ-Long Beach"	"CA"	"IIA"	542	685	491	171	112	6	780	600	474	401	751	610	521
1141	"Cal.St.Univ-Dominguez Hills"	"CA"	"IIA"	548	705	178	52	37	1	268	605	472	392	759	606	593
1143	"Cal.Poly.St.U-Sn Luis Obispo"	"CA"	"IIA"	571	721	507	102	60	1	670	607	496	394	763	635	514
1144	"Cal.Poly.St.Univ-Pomona"	"CA"	"IIA"	559	707	411	116	79	4	610	610	492	408	766	630	531
1146	"Cal.St.Univ-Chico"	"CA"	"IIA"	558	707	413	86	73	2	574	604	482	395	758	631	518
1147	"Cal.St.Univ-Fresno"	"CA"	"IIA"	553	699	459	109	67	14	649	603	476	382	757	612	500
1149	"Humboldt State University"	"CA"	"IIA"	543	688	213	38	50	0	301	593	468	387	746	603	507
1151	"San Diego State University"	"CA"	"IIA"	547	693	576	223	100	10	909	602	479	403	756	615	524
1155	"San Jose State University"	"CA"	"IIA"	528	669	431	222	158	8	819	598	486	404	750	623	526
1156	"Sonoma State University"	"CA"	"IIA"	553	699	170	34	29	0	233	602	459	380	755	592	497
1164	"Chapman University"	"CA"	"IIA"	491	656	38	37	36	0	111	578	470	420	763	627	573
1170	"Claremont McKenna College"	"CA"	"IIB"	601	751	36	16	12	2	67	716	516	411	892	661	510
1171	"Harvey Mudd College"	"CA"	"IIB"	638	805	34	14	20	0	68	771	579	454	961	739	588
1172	"Pitzer College"	"CA"	"IIB"	547	695	31	10	13	0	54	652	439	381	824	572	482
1173	"Pomona College"	"CA"	"IIB"	566	708	60	52	40	7	161	730	525	417	909	658	530
1174	"Scripps College"	"CA"	"IIB"	511	658	28	10	15	1	54	611	458	372	776	588	495
1179	"College of Notre Dame"	"CA"	"IIB"	448	535	25	16	15	3	59	524	421	374	630	503	443
1183	"Holy Names College"	"CA"	"IIB"	368	413	10	22	18	1	51	484	394	275	542	443	311
1216	"University of La Verne"	"CA"	"IIA"	401	494	41	28	41	0	110	482	392	326	602	478	396
1238	"Mills College"	"CA"	"IIA"	492	612	28	16	23	2	70	593	461	407	737	571	507
1249	"Occidental College"	"CA"	"IIB"	490	621	49	42	33	15	139	624	469	388	806	593	482
1253	"Fresno Pacific College"	"CA"	"IIB"	361	447	0	0	0	0	54						
1258	"Pacific Union College"	"CA"	"IIB"	336	403	40	17	41	4	102	362	333	315	441	398	376
1262	"Point Loma Nazarene College"	"CA"	"IIB"	429	549	43	21	23	7	94	507	393	358	637	523	468
1264	"Pepperdine University"	"CA"	"IIA"	637	829	130	72	22	7	231	715	561	511	930	737	645
1302	"Saint Mary's Coll. of Calif."	"CA"	"IIA"	500	618	38	55	42	0	135	614	494	404	754	616	497
1305	"Stanford University"	"CA"	"I"	824	1000	533	139	145	0	834	952	658	519	1144	814	653
1312	"Univ.of Calif.-Berkeley"	"CA"	"I"	650	799	834	229	209	0	1346	764	513	433	939	631	533
1313	"Univ.of Calif.-Davis"	"CA"	"I"	561	689	535	190	234	0	1072	683	478	404	840	588	496
1314	"Univ.of Calif.-Irvine"	"CA"	"I"	574	705	319	161	138	0	673	708	488	423	870	599	520
1315	"Univ.of Calif.-Los Angeles"	"CA"	"I"	609	748	817	267	298	0	1499	741	497	421	910	611	517
1316	"Univ.of Calif.-Riverside"	"CA"	"I"	514	632	183	80	140	0	441	670	461	390	824	567	479
1317	"Univ.of Calif.-San Diego"	"CA"	"I"	595	732	405	147	130	0	734	723	487	401	888	598	493
1319	"Univ.of Calif.-San Francisco"	"CA"	"I"	520	639	154	83	74	0	314	624	449	380	767	552	467
1320	"Univ.of Calif.-Santa Barbara"	"CA"	"I"	578	711	371	125	145	0	694	712	473	401	875	581	493
1321	"Univ.of Calif.-Santa Cruz"	"CA"	"I"	537	660	186	93	92	0	413	677	464	391	832	570	481
1322	"University of Redlands"	"CA"	"IIA"	488	610	49	19	39	0	109	566	468	406	716	592	495
1325	"University of San Francisco"	"CA"	"IIA"	514	680	129	59	80	19	287	617	486	405	811	644	538
1326	"Santa Clara University"	"CA"	"IIA"	578	729	85	117	90	0	324	763	555	487	938	704	624
1328	"Univ. of Southern California"	"CA"	"I"	641	825	485	354	286	27	1165	802	574	484	1016	751	636
1329	"University of the Pacific"	"CA"	"IIA"	459	570	172	92	100	10	377	542	420	372	666	528	468
1341	"Westmont College"	"CA"	"IIB"	415	526	30	19	22	3	74	489	408	339	616	524	429
1342	"Whittier College"	"CA"	"IIA"	531	642	48	27	24	9	108	666	499	347	808	601	416
1343	"Woodbury University"	"CA"	"IIA"	381	478	5	11	6	0	22		373	365		472	454
3948	"San Francisco State Univ."	"CA"	"IIA"	541	684	451	133	117	8	709	599	483	397	751	619	518
7993	"Cal.St.Univ-Bakersfield"	"CA"	"IIA"	499	637	95	48	50	13	206	597	482	377	752	619	495
10395	"University of San Diego"	"CA"	"IIA"	575	725	105	72	76	12	265	719	533	452	904	678	569
11649	"Loyola Marymount University"	"CA"	"IIA"	589	754	130	90	83	3	310	722	558	414	911	724	543
1345	"Adams State College"	"CO"	"IIA"	360	444	29	21	40	8	98	436	356	321	527	444	400
1347	"Colorado College"	"CO"	"IIB"	525	665	63	38	26	1	134	613	488	398	776	621	509
1349	"Univ. of Northern Colorado"	"CO"	"I"	385	458	151	111	129	35	467	480	390	333	565	463	399
1350	"Colorado State University"	"CO"	"I"	517	617	483	255	188	0	926	598	447	403	714	534	481
1353	"Fort Lewis College"	"CO"	"IIB"	392	460	73	35	52	5	165	439	385	342	516	452	402
1358	"Mesa State College"	"CO"	"IIB"	340	410	49	31	37	7	145	429	353	297	508	427	363
1360	"Metro. State Coll.of Denver"	"CO"	"IIB"	418	498	159	90	111	8	370	480	406	351	568	485	424
1363	"Regis University"	"CO"	"IIB"	424	527	16	26	12	2	56	489	434	349	626	531	428
1365	"University Southern Colorado"	"CO"	"IIA"	397	468	47	45	63	15	170	474	422	360	559	498	425
1370	"Univ. of Colorado- Boulder"	"CO"	"I"	528	649	457	301	227	93	1081	652	494	421	797	615	519
1371	"University of Denver"	"CO"	"I"	509	620	142	106	101	6	378	623	479	430	756	588	525
1372	"Western State Coll. of Colo."	"CO"	"IIB"	402	490	52	25	26	0	103	452	381	324	546	460	406
4509	"Univ. of Colo. at Colo.Sprgs"	"CO"	"IIA"	451	558	62	56	40	3	161	522	422	385	642	524	480
6740	"Univ. of Colorado at Denver"	"CO"	"IIA"	467	576	106	108	119	35	368	596	453	408	726	561	508
9401	"Colorado Christian Univ."	"CO"	"IIB"	255	323	3	8	13	8	32		284	251		356	318
1374	"Albertus Magnus College"	"CT"	"IIB"	340	393	9	7	5	3	24	391	343		444	400	
1378	"Central Connecticut St.Univ."	"CT"	"IIA"	518	680	118	119	137	16	390	666	534	397	856	700	536
1379	"Connecticut College"	"CT"	"IIB"	499	654	63	35	30	11	140	619	461	366	810	613	477
1380	"Western Conn. State Univ."	"CT"	"IIA"	575	778	90	36	50	2	178	658	516	477	883	711	652
1385	"Fairfield University"	"CT"	"IIA"	545	721	62	43	81	6	192	685	545	452	894	733	603
1397	"University of New Haven"	"CT"	"IIA"	471	596	72	44	30	1	152	524	450	401	656	576	513
1402	"Quinnipiac College"	"CT"	"IIA"	553	701	82	51	64	10	207	697	540	412	877	686	531
1403	"Sacred Heart University"	"CT"	"IIB"	435	553	19	55	30	7	111	546	444	374	686	566	478
1406	"Southern Conn. State Univ."	"CT"	"IIA"	522	678	160	125	120	12	417	644	514	385	819	673	516
1409	"Saint Joseph College"	"CT"	"IIA"	430	517	8	34	22	1	65	548	451	360	654	544	432
1414	"Trinity College"	"CT"	"IIB"	550	704	57	49	32	0	146	706	501	394	901	650	494
1416	"University of Bridgeport"	"CT"	"IIA"	434	553	32	29	26	1	90	505	437	360	644	551	463
1422	"University of Hartford"	"CT"	"IIA"	439	558	76	131	111	3	329	529	445	380	660	566	492
1424	"Wesleyan University"	"CT"	"IIA"	597	761	128	57	66	0	254	734	504	423	936	641	539
1425	"Eastern Connecticut St.Univ."	"CT"	"IIA"	535	714	47	47	33	0	127	650	515	400	856	689	547
1426	"Yale University"	"CT"	"I"	708	863	404	118	191	6	767	928	522	444	1127	643	548
1434	"American University"	"DC"	"I"	555	673	165	119	125	37	446	746	520	417	897	641	505
1437	"Catholic Univ. of America"	"DC"	"I"	482	570	123	141	104	6	374	611	449	385	718	533	459
1443	"Gallaudet University"	"DC"	"IIA"	482	637	86	67	70	35	261	623	480	399	814	638	534
1444	"George Washington University"	"DC"	"I"	610	733	316	175	134	12	637	729	542	447	874	653	536
1445	"Georgetown University"	"DC"	"I"	618	785	192	157	154	25	528	857	552	427	1080	710	546
1448	"Howard University"	"DC"	"I"	481	587	241	282	189	111	891	656	483	403	780	591	494
1452	"Mount Vernon College"	"DC"	"IIB"	330	413	3	10	17	0	30		360	288		453	364
1460	"Trinity College"	"DC"	"IIB"	350	415	12	12	21	2	47	457	362	293	536	435	349
29100	"Univ.of District Columbia"	"DC"	"IIA"	491	604	184	113	95	8	400	559	476	390	686	586	482
1428	"Delaware State University"	"DE"	"IIA"	379	515	29	47	61	34	183	545	435	359	716	583	491
1429	"Goldey Beacom College"	"DE"	"IIB"	417	528	8	14	3	1	26	492	405		613	511	
1431	"University of Delaware"	"DE"	"I"	556	721	341	319	217	65	953	723	531	422	922	693	554
